Date,Symbol,Order,Shares
2010-01-04,GOOG,SELL,100
2010-01-11,GOOG,BUY,100
2010-01-12,GOOG,SELL,100
2010-01-20,GOOG,BUY,100
2010-01-21,GOOG,SELL,100
2010-01-28,GOOG,BUY,100
2010-02-05,GOOG,BUY,100
2010-02-12,GOOG,SELL,100
2010-02-26,GOOG,BUY,100
2010-03-05,GOOG,SELL,100
2010-03-24,GOOG,BUY,100
2010-03-31,GOOG,SELL,100
2010-04-14,GOOG,SELL,100
2010-04-21,GOOG,BUY,100
2010-05-06,GOOG,BUY,100
2010-05-13,GOOG,SELL,100
2010-05-14,GOOG,SELL,100
2010-05-21,GOOG,BUY,100
2010-05-24,GOOG,SELL,100
2010-06-01,GOOG,BUY,100
2010-06-07,GOOG,SELL,100
2010-06-14,GOOG,BUY,100
2010-06-21,GOOG,SELL,100
2010-06-28,GOOG,BUY,100
2010-07-28,GOOG,BUY,100
2010-08-04,GOOG,SELL,100
2010-08-06,GOOG,SELL,100
2010-08-13,GOOG,BUY,100
2010-08-16,GOOG,SELL,100
2010-08-23,GOOG,BUY,100
2010-09-01,GOOG,BUY,100
2010-09-09,GOOG,SELL,100
2010-09-14,GOOG,BUY,100
2010-09-21,GOOG,SELL,100
2010-10-01,GOOG,BUY,100
2010-10-08,GOOG,SELL,100
2010-10-22,GOOG,SELL,100
2010-10-29,GOOG,BUY,100
2010-11-05,GOOG,SELL,100
2010-11-12,GOOG,BUY,100
2010-11-22,GOOG,SELL,100
2010-11-30,GOOG,BUY,100
2010-12-28,GOOG,SELL,100
